mah_id,education_score,health_score,green_score,quiet_score,safety_score,heat_comfort,transport_score,walkability_score,social_score,nightlight_score,population_balance,daily_needs_score,coastal_proximity,affordability_score,built_growth_score
akseki_guneykaya,16.28,29.44,65.35,82.35,82.13,83.99,24.78,5.04,3.78,8.88,56.47,19.96,16.34,2.96,5.15
akseki_gunyaka,16.28,29.44,76.21,82.35,84.65,97.7,24.78,0.66,9.65,10.53,26.43,19.96,7.24,8.33,20.83
akseki_guzelsu,16.28,29.44,32.79,82.35,87.39,99.12,24.78,4.93,47.04,3.4,24.12,19.96,15.79,19.3,30.81
akseki_guclukoy,45.56,29.44,73.9,61.84,82.24,84.65,24.78,26.21,35.86,20.07,83.77,55.65,19.63,33.44,29.06
akseki_haci_ilyas,82.07,77.69,97.15,82.35,99.45,79.39,63.1,72.37,61.84,59.54,73.74,59.1,7.24,59.87,45.61
akseki_hocakoy,16.28,29.44,67.54,82.35,82.89,66.89,24.78,14.04,3.78,7.02,47.7,19.96,16.12,9.65,13.71
akseki_husamettinkoy,16.28,29.44,47.7,82.35,51.21,81.69,24.78,14.25,3.78,14.91,4.82,19.96,7.24,7.29,20.39
akseki_karakisla,16.28,29.44,39.8,82.35,72.92,99.34,24.78,0.55,3.78,6.8,31.14,19.96,7.24,6.14,20.07
akseki_kepez,16.28,29.44,54.71,82.35,95.94,71.05,24.78,9.54,9.32,12.06,52.58,19.96,15.24,6.03,27.96
akseki_mahmutlu,16.28,29.44,61.29,82.35,74.45,86.51,24.78,26.1,31.58,19.08,33.17,19.96,15.57,35.36,31.58
akseki_mentesbey,16.28,29.44,65.24,82.35,86.18,88.38,24.78,3.29,3.78,3.73,16.01,19.96,7.24,1.32,14.04
akseki_minareli,16.28,29.44,69.19,82.35,75.55,78.84,24.78,17.65,3.78,4.28,3.73,19.96,7.24,0.05,1.43
akseki_sadiklar,16.28,29.44,59.1,82.35,75.44,97.15,24.78,16.89,11.4,6.47,16.56,19.96,15.13,11.4,14.69
akseki_salihler,16.28,29.44,91.01,57.89,61.73,90.79,24.78,5.48,28.4,7.79,28.84,19.96,7.24,12.5,7.35
akseki_sarihacilar,36.57,61.4,43.53,82.35,64.69,74.78,52.36,64.91,61.29,56.36,96.05,42.54,7.24,47.48,36.73
akseki_sarihaliller,16.28,29.44,52.08,82.35,61.62,59.98,24.78,1.64,3.78,19.74,6.41,19.96,7.24,9.48,17.43
manavgat_sevinckoy,16.28,29.44,50.88,82.35,69.85,72.04,24.78,0.0,11.73,8.99,19.46,19.96,7.24,3.51,3.73
akseki_susuzsahap,16.28,29.44,45.83,82.35,79.82,99.45,24.78,0.99,3.78,5.04,21.66,19.96,7.24,17.87,46.38
akseki_suleymaniye,16.28,60.03,91.89,60.2,66.78,95.83,24.78,39.47,25.22,17.32,69.74,19.96,7.24,36.84,30.59
akseki_sinanhoca,16.28,29.44,58.55,82.35,82.35,81.14,24.78,30.26,26.97,9.76,42.38,41.01,7.24,24.23,21.6
akseki_taslica,45.56,29.44,84.87,53.18,68.75,78.51,24.78,32.35,42.65,27.41,82.46,49.51,17.0,40.57,29.61
akseki_yarpuz,57.46,29.44,86.07,64.36,75.99,99.89,24.78,11.95,45.94,2.19,47.15,59.98,7.24,27.19,18.42
akseki_caltilicukur,16.28,29.44,68.86,82.35,88.38,84.87,24.78,13.82,3.78,13.93,26.21,19.96,17.76,8.55,25.66
akseki_canakpinar,16.28,29.44,45.07,82.35,74.23,98.57,24.78,0.11,3.78,0.77,6.41,19.96,7.24,12.61,31.69
akseki_cinardibi,16.28,29.44,76.1,54.06,83.22,87.94,24.78,11.62,29.28,10.64,19.74,19.96,7.24,5.59,4.06
akseki_cukurkoy,16.28,29.44,72.04,82.35,77.52,84.43,24.78,37.28,47.81,4.5,32.4,19.96,17.32,33.28,16.78
akseki_cimikoy,16.28,29.44,17.54,82.35,76.21,100.0,24.78,1.21,3.78,1.86,30.76,19.96,7.24,9.76,30.04
ibradi_urunlu,73.36,29.44,92.11,82.35,86.29,85.2,24.78,32.02,59.32,2.85,65.24,19.96,7.24,38.16,32.02
aksu_alayli,36.57,29.44,31.91,38.38,30.15,23.68,64.25,55.48,56.03,57.79,76.64,61.68,56.03,67.87,85.53
aksu_altintas,81.14,84.65,25.77,21.93,19.19,3.84,99.67,79.93,83.22,82.13,10.2,83.44,69.63,75.38,80.04
aksu_ataturk,51.37,63.98,34.65,19.19,12.17,3.4,95.94,77.74,70.94,74.78,30.59,75.66,55.15,80.15,92.11
aksu_barbaros,51.37,72.31,26.97,23.79,13.38,35.42,67.49,70.61,70.72,74.01,49.51,62.88,68.31,69.3,79.06
aksu_boztepe,34.48,29.44,3.51,44.3,0.44,29.93,63.54,60.64,42.21,66.12,68.64,19.96,76.43,58.11,75.77
aksu_cumhuriyet,73.36,72.64,8.11,26.21,32.68,8.22,71.55,70.18,65.13,72.37,93.75,57.57,56.69,78.51,91.78
aksu_cihadiye,66.61,67.54,27.85,20.72,22.04,7.02,88.93,75.33,73.03,79.61,37.72,72.92,59.32,79.5,85.31
aksu_dumanlar,82.07,29.44,4.17,82.35,1.1,34.1,69.79,67.21,43.09,59.76,94.08,59.1,70.29,68.97,90.68
aksu_fatih,72.15,67.27,48.79,26.1,44.3,5.15,79.93,66.89,65.24,67.76,77.58,60.91,52.52,71.82,91.12
aksu_gokdere,34.48,29.44,11.95,40.24,12.61,20.83,71.05,43.42,58.55,59.43,60.53,19.96,67.32,61.68,89.14
aksu_guloluk,63.43,29.44,28.18,82.35,19.85,36.18,70.39,49.23,38.82,43.97,94.85,19.96,58.77,50.82,67.65
aksu_hacialiler,73.36,68.91,35.09,22.48,37.83,23.25,82.89,70.07,73.25,76.43,27.74,76.86,61.07,78.07,90.46
aksu_karacalli,84.48,78.95,8.99,40.13,13.16,14.58,75.71,66.12,65.46,67.65,70.83,67.54,77.3,72.81,81.03
aksu_karaoz,16.28,62.83,63.6,45.94,42.32,21.16,71.93,32.79,45.18,39.36,55.04,56.63,45.72,45.23,61.29
aksu_kayadibi,16.28,29.44,85.86,82.35,44.52,31.8,51.1,34.1,37.28,28.84,45.45,19.96,43.86,42.32,37.39
aksu_kemeragzi,74.4,93.75,46.6,23.68,3.73,24.45,88.43,68.86,84.76,77.41,16.34,87.94,80.26,75.99,84.98
aksu_konak,37.39,62.17,23.79,21.27,34.1,29.28,74.89,77.96,72.81,76.86,82.35,70.45,60.31,75.38,76.54
aksu_kumkoy,57.46,29.44,21.16,41.89,1.54,30.7,64.09,65.02,55.04,63.05,67.11,66.78,80.15,60.96,79.71
aksu_kundu,64.47,77.36,2.19,29.71,0.77,25.55,87.34,65.35,62.5,70.94,35.31,69.85,79.82,69.74,89.36
aksu_kursunlu,45.56,62.83,22.92,33.22,35.42,16.01,82.57,51.75,51.86,59.98,45.94,46.05,47.48,60.86,80.7
aksu_macun,70.83,79.17,81.58,23.03,52.85,9.43,88.6,76.43,80.7,76.21,23.36,76.75,56.8,79.17,87.61
aksu_mandirlar,16.28,61.4,27.96,29.39,25.0,17.54,85.64,71.16,66.89,69.08,66.78,63.93,72.37,70.39,78.18
aksu_murtuna,64.47,29.44,27.41,45.39,29.93,26.64,81.3,64.25,53.4,57.89,49.78,65.46,57.89,66.12,93.2
aksu_pinarli,77.8,85.75,15.79,11.07,41.12,15.79,92.54,86.62,84.54,77.63,17.98,88.32,57.13,88.93,94.52
aksu_solak,34.48,29.44,3.07,33.0,0.11,39.04,80.21,65.68,57.02,62.17,96.38,55.65,71.38,59.1,74.45
aksu_sogucaksu,65.24,71.98,24.01,17.32,42.11,8.44,82.13,83.0,74.56,81.8,85.09,71.33,59.54,83.99,92.76
aksu_topalli,53.45,65.84,39.36,30.04,33.11,4.06,81.3,65.57,57.46,61.18,52.74,62.06,46.82,65.35,82.13
aksu_yenidumanlar,52.58,29.44,4.61,40.35,0.0,41.45,63.1,58.99,51.97,53.84,52.58,19.96,70.94,60.14,72.37
aksu_yesilkaraman,57.46,29.44,76.64,44.96,30.7,30.15,69.63,55.7,43.75,43.09,96.16,62.5,41.78,49.23,59.87
aksu_yurtpinar,82.73,29.44,89.58,37.28,23.14,32.35,79.61,60.31,61.73,64.36,41.56,19.96,58.99,63.93,84.54
aksu_calkaya,53.45,84.87,8.22,26.97,7.02,20.07,86.46,67.0,72.92,71.38,49.23,73.41,73.46,69.85,80.59
aksu_camkoy,66.61,72.31,5.04,25.0,27.74,10.31,94.19,69.74,70.39,73.57,27.85,81.47,55.04,80.59,98.03
aksu_ihsaniye,16.28,29.44,1.1,30.37,0.33,28.29,24.78,43.97,15.24,58.33,77.85,19.96,71.05,57.24,98.57
alanya_akdam,45.56,29.44,74.45,82.35,74.67,78.29,24.78,32.68,24.78,35.09,69.02,19.96,54.28,38.93,60.09
alanya_akcati,45.56,62.83,91.56,52.63,85.96,99.23,24.78,39.91,59.54,28.4,87.5,52.52,31.91,30.7,11.07
alanya_alacami,45.56,29.44,53.29,82.35,80.04,96.6,24.78,10.53,21.6,10.09,55.92,19.96,31.58,14.69,42.32
alanya_alara,72.15,29.44,47.15,40.68,30.26,52.96,24.78,60.53,55.59,47.15,93.42,61.68,85.53,58.88,58.33
alanya_aliefendi,61.24,29.44,52.19,41.56,71.05,70.18,24.78,44.96,47.7,62.83,85.75,19.96,87.39,50.44,62.06
alanya_asmaca,57.46,29.44,95.5,59.98,92.43,93.97,51.1,52.41,54.28,48.36,58.77,60.42,32.79,33.77,16.89
alanya_avsallar,52.19,89.25,98.68,27.52,56.69,76.32,78.07,67.32,80.15,66.56,2.85,86.51,65.68,66.23,69.3
alanya_bademagaci,45.56,29.44,75.44,82.35,97.59,97.81,24.78,18.97,37.5,42.0,83.55,46.05,30.26,21.71,13.16
alanya_basirli,77.8,75.66,59.21,82.35,53.4,77.08,61.95,78.95,3.78,80.15,73.9,58.28,91.12,70.29,67.11
alanya_baskoy,38.76,29.44,45.5,82.35,94.85,87.39,24.78,40.35,35.53,38.27,43.97,19.96,39.36,29.61,19.52
alanya_bektas,37.39,67.54,86.4,28.4,95.07,94.08,61.07,71.05,66.34,72.81,76.86,57.57,34.65,64.47,61.95
alanya_beldibi,16.28,29.44,62.61,82.35,76.1,75.77,24.78,23.68,13.16,31.58,57.79,19.96,39.91,10.2,9.32
alanya_beyreli,45.56,29.44,58.33,82.35,96.05,75.99,24.78,42.98,42.98,57.57,89.36,19.96,83.11,38.71,29.71
alanya_bicakci,16.28,29.44,33.0,82.35,65.57,85.31,24.78,41.56,41.67,55.26,64.42,19.96,59.43,34.21,15.9
alanya_bucak,61.24,29.44,79.39,82.35,82.79,80.48,24.78,43.31,44.52,29.61,36.95,19.96,36.73,26.48,10.31
alanya_buyukhasbahce,52.58,64.69,98.25,24.56,98.79,73.25,69.79,75.22,77.52,83.22,30.15,67.05,76.1,76.86,94.63
alanya_buyukpinar,16.28,29.44,38.49,82.35,64.91,60.64,24.78,42.43,48.36,52.52,58.11,19.96,86.29,45.23,51.54
alanya_cumhuriyet,98.96,79.55,47.37,3.51,18.09,45.83,83.72,92.21,96.38,91.89,20.72,94.57,93.53,96.05,79.28
alanya_cikcilli,96.87,78.29,85.09,9.65,55.81,58.55,76.97,83.88,89.47,88.16,1.54,97.04,89.69,87.39,93.64
alanya_demirtas,64.47,68.59,87.61,32.13,45.39,75.11,49.89,68.31,68.53,62.61,31.36,74.45,91.89,64.8,77.08
alanya_degirmendere,73.36,62.17,86.73,31.69,96.71,81.25,71.55,74.12,64.8,71.49,63.38,66.5,76.86,63.38,68.86
alanya_dinek,69.57,61.4,90.24,22.7,44.63,74.01,69.19,73.68,78.18,75.88,45.18,74.34,90.13,72.04,68.75
alanya_elikesik,81.3,65.3,54.28,42.21,83.55,75.44,53.56,61.73,45.5,60.75,48.68,58.88,58.88,64.04,73.57
alanya_emisbeleni,34.48,29.44,73.25,38.6,65.9,55.48,24.78,48.68,53.95,58.99,63.16,59.59,64.04,66.01,82.02
alanya_fakircali,16.28,29.44,62.06,82.35,72.81,72.7,24.78,22.04,29.39,41.67,64.75,19.96,51.54,16.23,8.66
alanya_figla,91.83,86.84,10.86,11.51,41.45,52.52,74.07,93.53,86.62,91.67,23.25,88.32,91.45,90.24,100.0
alanya_gozukucuklu,16.28,29.44,69.63,52.52,91.34,92.32,54.55,33.33,37.83,42.32,81.03,19.96,37.94,18.64,12.5
alanya_guller_pinari,96.87,96.05,55.59,4.82,21.93,58.88,85.2,96.05,99.34,93.75,2.74,99.78,93.2,97.81,76.21
alanya_gumuskavak,45.56,29.44,81.25,82.35,92.76,95.5,24.78,33.66,34.21,33.77,89.64,19.96,35.75,10.53,7.57
alanya_hacet,99.73,81.09,40.02,3.29,22.92,54.28,72.48,91.12,93.97,93.2,6.69,97.92,92.0,95.29,84.65
alanya_hacikerimler,61.24,29.44,59.76,82.35,99.34,70.61,24.78,49.01,49.23,53.73,70.5,19.96,28.95,50.55,49.67
alanya_hacimehmetli,16.28,29.44,63.27,82.35,99.56,86.73,24.78,51.1,52.41,70.29,51.1,44.46,62.94,44.19,30.48
alanya_hocalar,45.56,65.3,49.12,49.34,95.72,71.93,24.78,39.69,41.12,51.21,81.58,19.96,82.89,45.07,64.91
alanya_hisarici,38.76,29.44,74.56,19.3,39.36,81.47,61.95,81.36,87.61,80.37,36.24,66.01,86.4,71.71,60.86
alanya_kadipasa,96.87,97.92,31.8,3.62,38.6,55.37,72.48,95.18,95.94,94.19,7.24,98.79,91.67,96.49,64.8
alanya_karapinar,16.28,29.44,84.54,62.17,75.88,91.89,24.78,23.57,28.51,15.13,43.42,52.52,35.42,22.86,15.57
alanya_kargicak,68.48,80.15,97.81,33.33,57.46,82.35,69.96,64.36,72.59,68.86,19.3,74.01,85.75,62.61,69.74
alanya_kayabasi,69.57,29.44,66.23,82.35,98.68,79.61,24.78,37.94,42.87,51.75,94.3,19.96,28.4,50.33,55.81
alanya_kestel,98.41,83.33,97.04,19.41,31.91,73.68,83.0,78.4,85.75,77.96,4.17,95.83,92.43,77.3,85.42
alanya_kesefli,73.36,29.44,39.04,37.61,53.07,61.73,74.89,68.64,64.25,61.51,98.36,62.23,94.08,67.43,74.23
alanya_kizilcasehir,66.61,60.03,92.0,36.4,93.64,94.63,63.54,61.84,52.96,64.25,71.16,53.78,47.92,52.69,50.44
alanya_kizlar_pinari,68.75,93.53,44.41,5.37,18.31,48.46,79.82,88.16,96.82,89.91,8.99,99.34,92.87,92.65,63.05
alanya_kocaoglanli,16.28,29.44,66.78,82.35,74.78,74.23,24.78,16.34,3.78,44.52,56.58,19.96,66.67,13.82,30.26
alanya_konakli,71.77,93.86,92.21,19.74,29.82,56.58,79.0,77.52,89.04,80.48,2.3,99.67,90.79,84.21,90.02
alanya_kuzyaka,16.28,29.44,89.25,54.17,81.58,98.9,24.78,45.29,56.36,45.5,54.5,19.96,37.83,38.27,19.19
alanya_kucukhasbahce,77.8,85.14,61.18,21.6,64.47,70.83,58.06,86.4,81.58,86.4,26.1,82.84,88.16,85.09,96.82
alanya_mahmutlar,87.94,98.03,99.89,21.16,56.03,86.18,75.11,70.39,90.13,71.27,0.0,99.45,44.52,75.22,82.57
alanya_mahmutseydi,45.56,29.44,75.0,82.35,87.5,91.01,24.78,58.0,58.22,46.93,83.28,49.51,29.93,34.87,24.01
alanya_oba,88.71,99.23,98.36,14.8,25.77,64.8,84.43,81.25,94.96,87.06,0.22,99.89,91.34,83.11,93.09
alanya_obaalacami,57.46,29.44,73.46,53.29,92.11,99.78,24.78,29.61,33.11,28.51,78.18,19.96,29.71,26.26,14.36
alanya_okurcalar,39.8,81.3,63.71,27.08,43.75,72.37,86.84,73.14,80.04,72.04,20.5,92.43,87.61,72.48,71.38
alanya_payallar,71.77,78.07,38.16,25.22,36.95,48.36,67.11,71.6,73.68,73.79,8.44,85.2,89.14,80.04,91.45
alanya_pasakoy,16.28,29.44,78.73,82.35,98.57,90.46,24.78,40.57,12.17,43.86,46.27,19.96,32.02,9.48,19.85
alanya_sapadere,45.56,29.44,50.0,62.83,92.98,91.23,24.78,21.71,26.43,25.22,98.68,19.96,37.28,20.72,26.43
alanya_saray,91.83,99.45,51.97,2.41,15.79,51.21,68.53,96.93,100.0,92.43,3.84,100.0,93.31,99.12,83.11
alanya_seki,16.28,29.44,55.48,31.25,51.1,78.95,54.55,58.88,64.47,63.82,91.56,51.97,92.11,62.06,58.99
alanya_sogukpinar,82.07,29.44,86.18,82.35,78.4,74.56,24.78,47.37,48.14,49.56,71.0,19.96,57.02,59.54,67.54
alanya_sugozu,83.83,80.48,71.82,21.82,63.16,60.75,66.72,82.13,77.85,82.24,18.2,81.14,81.69,80.32,87.83
alanya_tasbasi,16.28,29.44,10.09,58.55,96.38,92.87,24.78,3.51,31.25,11.62,32.24,19.96,30.81,30.37,45.29
alanya_tepe,16.28,61.4,95.39,34.32,96.82,95.39,56.91,64.8,66.12,63.27,84.27,46.05,33.99,56.03,47.37
alanya_tirilar,69.57,29.44,61.95,43.64,67.87,57.79,24.78,49.45,54.71,49.78,51.97,19.96,77.96,29.5,4.61
alanya_tophane,77.8,70.72,42.43,18.2,58.11,72.48,61.95,83.44,87.5,89.36,44.24,58.28,89.25,79.71,58.44
alanya_toslak,81.3,29.44,70.29,48.03,60.2,53.18,24.78,46.27,58.11,61.73,30.37,58.72,75.99,65.9,81.8
alanya_tosmur,96.87,86.51,80.15,14.04,32.46,61.95,81.14,85.09,88.93,87.17,8.11,94.57,93.42,89.75,93.86
alanya_turkler,87.12,89.36,95.29,28.95,45.07,62.5,75.22,69.63,75.66,70.61,22.26,86.84,87.94,72.15,80.37
alanya_turktas,57.46,29.44,91.23,82.35,97.15,89.14,24.78,45.83,56.91,36.51,68.42,49.51,27.74,41.06,35.64
alanya_uzunoz,45.56,29.44,66.01,82.35,94.19,96.93,24.78,38.16,38.05,35.96,82.24,19.96,36.18,21.49,6.91
alanya_ugrak,45.56,29.44,59.32,41.12,78.84,82.02,57.57,56.14,49.45,54.06,80.59,55.65,90.24,54.71,70.83
alanya_yalci,16.28,29.44,70.83,58.11,83.77,97.92,24.78,45.18,60.2,29.5,23.52,60.42,34.87,38.6,19.3
alanya_yasirali,16.28,29.44,89.47,82.35,98.25,92.76,24.78,42.87,42.11,47.48,28.23,19.96,33.88,31.47,37.06
alanya_yaylakonak,57.46,29.44,69.74,82.35,98.36,84.98,24.78,30.37,34.65,41.89,69.52,19.96,37.17,16.56,8.11
alanya_yaylali,45.56,29.44,93.97,32.68,99.12,80.92,60.91,56.91,67.43,67.21,72.92,43.26,86.73,61.24,58.88
alanya_yenikoy,16.28,29.44,85.2,82.35,79.28,75.66,24.78,36.95,34.43,54.93,91.83,19.96,47.81,41.89,56.25
alanya_yesiloz,57.46,62.83,30.37,42.43,45.18,64.14,60.14,57.35,60.09,60.42,72.7,64.47,94.74,67.05,82.46
alanya_cakallar,38.76,29.44,71.6,50.55,68.09,81.91,24.78,35.96,46.82,35.31,91.39,19.96,48.57,43.31,40.68
alanya_camlica,71.93,29.44,85.96,55.48,95.39,76.86,24.78,41.01,34.87,40.46,71.27,19.96,49.89,21.16,15.46
alanya_carsi,77.8,85.14,94.41,3.95,46.93,75.88,69.35,80.26,95.18,91.56,39.04,88.87,90.68,88.27,69.52
alanya_ciplakli,68.75,88.54,69.08,17.87,55.04,62.39,74.56,80.04,79.17,84.87,9.43,84.81,88.05,78.4,88.49
alanya_otekoy,45.56,29.44,48.03,82.35,90.02,93.09,24.78,19.41,32.68,18.53,29.61,19.96,32.89,14.04,13.82
alanya_ozvadi,16.28,29.44,25.33,38.16,65.68,52.74,24.78,45.39,46.6,60.31,65.46,19.96,91.78,53.07,70.18
alanya_uzumlu,16.28,29.44,66.34,82.35,92.21,93.42,24.78,25.0,13.27,31.47,53.13,19.96,33.11,7.79,6.8
alanya_imamli,57.46,29.44,36.4,44.19,73.68,58.33,51.1,53.18,41.78,57.13,97.81,19.96,88.93,51.86,75.88
alanya_incekum,64.47,73.68,48.57,29.17,58.66,65.9,72.15,70.29,71.16,62.28,34.54,80.04,79.93,63.49,57.79
alanya_isbatli,36.57,29.44,46.38,82.35,62.17,60.2,24.78,50.33,14.25,61.95,73.74,19.96,90.35,46.16,84.76
alanya_ishakli,73.36,29.44,49.45,32.79,61.18,68.64,24.78,63.27,63.93,68.53,88.98,43.26,92.65,64.58,64.58
alanya_sekerhane,91.83,98.68,19.85,1.1,33.55,53.4,68.53,93.31,99.78,97.81,8.33,99.01,92.76,99.45,38.16
alanya_sihlar,45.56,29.44,72.26,82.35,76.75,73.57,24.78,38.6,30.48,38.49,93.09,19.96,45.94,16.45,10.09
demre_alakent,96.87,62.17,1.97,31.36,10.53,40.13,64.86,77.85,74.34,72.59,60.42,72.92,99.56,81.36,96.93
demre_beloren,16.28,29.44,68.75,59.32,88.71,94.3,24.78,23.25,20.39,14.14,82.02,19.96,45.83,12.72,16.12
demre_buyukkum,38.76,60.03,83.0,28.51,20.29,59.1,64.09,75.44,78.29,70.07,39.25,77.19,99.78,73.57,83.88
demre_davazlar,16.28,29.44,74.01,82.35,84.98,83.66,24.78,19.63,25.0,12.83,34.7,19.96,49.34,15.57,32.35
demre_gokyazi,99.45,86.4,32.24,15.57,4.61,40.46,75.93,85.64,90.57,79.5,14.36,91.34,99.89,87.17,99.12
demre_gurses,16.28,29.44,84.98,45.83,88.82,77.52,60.14,47.7,54.06,35.86,77.14,49.51,58.66,46.71,59.1
demre_kaleucagiz,73.36,29.44,83.66,41.67,51.32,73.46,24.78,53.73,71.05,26.86,84.43,62.88,98.14,50.11,44.63
demre_kapakli,16.28,29.44,53.73,45.29,63.6,69.3,24.78,40.02,55.26,26.97,85.86,19.96,90.02,46.38,61.07
demre_karabucak,37.66,59.1,90.68,40.57,49.45,57.68,62.83,68.53,57.57,64.47,41.23,58.72,94.52,65.24,73.79
demre_kayaalti,16.28,72.64,35.96,31.8,21.38,54.06,24.78,59.54,63.6,69.96,76.37,19.96,99.01,71.6,84.87
demre_koskerler,53.45,29.44,35.2,43.31,43.42,63.49,49.89,48.36,40.02,44.08,47.26,19.96,92.21,51.48,63.93
demre_kucukkum,85.31,62.17,8.88,26.43,4.17,42.32,58.06,74.67,73.36,76.97,73.03,68.15,100.0,79.93,89.47
demre_yavu,16.28,29.44,83.33,49.56,63.49,72.15,24.78,25.11,37.17,21.6,75.99,19.96,54.71,40.35,47.04
demre_yaylakaya,86.18,29.44,16.34,35.2,8.33,45.29,64.53,69.19,62.61,72.15,75.55,63.93,99.34,75.0,87.28
demre_cagman,16.28,29.44,60.42,60.53,82.46,90.35,24.78,3.07,22.81,18.86,51.21,19.96,43.09,18.42,28.95
demre_cevreli,66.61,29.44,38.71,82.35,55.7,50.11,24.78,47.04,45.07,34.32,94.63,59.59,92.32,57.89,73.36
dosemealti_ahirtas,57.46,29.44,98.03,82.35,70.07,47.92,71.93,34.54,40.13,35.2,73.36,19.96,16.23,36.51,17.87
dosemealti_akkoc,16.28,29.44,81.69,82.35,72.48,64.25,24.78,5.7,18.09,22.15,61.02,19.96,7.24,21.93,17.0
dosemealti_altinkale,95.29,70.39,58.99,25.66,6.25,0.44,98.57,76.75,78.95,78.51,10.96,81.25,32.24,70.5,74.01
dosemealti_ayanlar,34.48,29.44,43.09,50.33,60.86,50.88,75.44,46.93,42.0,45.83,97.15,41.01,7.24,50.66,50.88
dosemealti_aydinlar,16.28,29.44,75.66,50.99,52.3,47.59,76.15,48.57,48.03,45.39,99.78,19.96,7.24,52.25,53.62
dosemealti_asagioba,51.37,29.44,9.65,28.18,5.81,1.64,76.37,60.75,58.44,63.93,75.66,55.65,30.59,62.5,63.38
dosemealti_bademagaci,66.61,29.44,47.26,50.44,36.07,24.23,65.41,52.3,42.43,46.82,71.38,59.59,7.24,53.73,46.49
dosemealti_bahceyaka,54.11,83.11,51.43,20.94,6.36,2.08,97.42,79.82,85.42,80.59,6.03,88.71,32.13,75.6,77.19
dosemealti_biyikli,16.28,29.44,57.35,44.41,35.53,56.03,73.3,51.21,64.04,42.98,39.91,49.51,7.24,54.82,50.99
dosemealti_camili,16.28,29.44,28.62,82.35,48.68,2.3,74.07,62.28,45.72,47.92,78.78,69.52,23.03,53.84,44.96
dosemealti_dagbeli,45.56,29.44,47.04,54.28,54.5,64.04,63.93,12.61,37.61,38.16,57.57,63.54,7.24,37.5,42.43
dosemealti_dereli,86.18,29.44,0.66,31.91,11.51,0.0,65.95,59.76,52.63,52.3,46.71,19.96,29.5,59.43,72.92
dosemealti_duzlercami,66.61,29.44,44.52,47.37,24.34,13.27,82.79,69.85,67.0,67.11,51.75,71.82,31.69,58.77,52.74
